SKU,Standard Price,StartDate,EndDate,Rental_1,Rental_2,Rental_3,Rental_4,Stock,ISBN,Min,Max,Target,Notes
180817P-237-1260189651,325.45,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,163.74,163.74,81.87,325.45,10,1260189651,87.16,163.74,136.93,
180817P-282-1259918394,379.85,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,159.5,159.5,79.75,379.85,1,1259918394,99.96,189.34,158.05,
180827P-237-126018966X,315.02,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,158.83,158.83,79.42,315.02,5,126018966X,84.71,158.83,132.89,
180817P-237-1260189678,319.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,158.5,158.5,79.25,319.5,6,1260189678,85.76,160.94,134.62,
180822P-236-0134739698,311.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,157.17,157.17,78.58,311.5,3,0134739698,83.88,157.17,131.52,
180817P-175-1618531980,279.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,99.24,99.24,49.62,279.5,1,1618531980,76.35,142.11,119.1,
180725P-200-1337702544,275.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,140.23,140.23,70.11,275.5,1,1337702544,75.41,140.23,117.54,
180820P-188-1337702544,269.95,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,140.23,140.23,70.11,269.95,1,1337702544,74.1,137.62,115.39,
180815P-188-1337702625,269.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,137.41,137.41,68.7,269.5,1,1337702625,74,137.41,115.21,
180815P-197-0808049089,269.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,137.41,137.41,68.7,269.5,13,0808049089,74,137.41,115.21,
180817P-167-0808049100,249.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,137.41,137.41,68.7,249.5,5,0808049089,69.29,128,107.45,
180817P-185-1618532618,259.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,132.7,132.7,66.35,259.5,13,1618532618,71.64,132.7,111.33,
180730NB-163-1259726703,230.98,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,100.26,100.26,50.13,230.98,1,1259726703,64.93,119.28,100.26,
180905M4655857-163-1259726703,230.98,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,100.26,100.26,50.13,230.98,2,1259726703,64.93,119.28,100.26,
180828M4639114-119-0470616296,214.95,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,111.74,111.74,55.87,214.95,1,0470616296,61.16,111.74,94.03,
180926M-4664718-113-0134610679,209.9,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,109.34,109.34,54.67,209.9,3,0134610679,59.97,109.36,92.07,
180829M4647883-120-0134418034,209.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,109.16,109.16,54.58,209.5,1,0134418034,59.88,109.17,91.92,
180718BX-170-0134730666,249.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,107.45,107.45,53.73,249.5,4,0134730666,69.29,128,107.45,
180817P-185-1618532332,249.9,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,102.99,102.99,51.49,249.9,1,1618532332,69.38,128.18,107.6,
180925P-175-1618531654,239.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,103.57,103.57,51.78,239.5,1,1618531654,66.94,123.29,103.57,
180509MB-110-1618531654,197.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,103.52,103.52,51.76,197.5,1,1618531655,57.05,103.52,87.26,
160920BB-100-0132173964,197.5,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,103.52,103.52,51.76,197.5,1,0132173964,57.05,103.52,87.26,
180824N428736-153-0072424435,235.45,2018-01-29T12:00:00+00:00,2020-05-01T12:00:00+00:00,102.19,102.19,51.09,235.45,4,0072424435,65.98,121.38,101.99,
